# object_id class_id class_name first_frame last_frame observations bbox_left bbox_top bbox_right bbox_bottom center_x center_y center_z
213 2 low_dynamic_group 343 565 179 27.000000 0.000000 182.000000 114.000000 -1.202575445 0.936995864 2.627366781
0 2 low_dynamic_group 1 864 166 10.000000 381.000000 159.000000 477.000000 -0.728967607 0.467637986 1.861247778
2 1 static_group 1 865 306 334.000000 202.000000 471.000000 302.000000 0.428800076 -0.019708421 2.575621128
48 2 low_dynamic_group 16 643 132 354.000000 341.000000 546.000000 474.000000 0.675097406 0.763481259 2.073200464
13 1 static_group 3 865 309 152.000000 246.000000 245.000000 319.000000 -0.702990353 -0.020394150 2.687702417
683 1 static_group 400 426 52 363.000000 363.000000 519.000000 480.000000 -0.681812108 -0.252849489 1.161770105
821 2 low_dynamic_group 483 656 188 18.000000 92.000000 162.000000 307.000000 -0.112989739 1.155420899 1.780515432
89 2 low_dynamic_group 22 338 7 362.000000 249.000000 561.000000 473.000000 0.557022214 0.571134329 1.479073167
656 2 low_dynamic_group 395 607 78 32.000000 153.000000 123.000000 355.000000 -0.324907094 0.011761145 1.339237928
748 1 static_group 412 427 10 365.000000 379.000000 521.000000 477.000000 3.121792555 -1.141534925 6.454091072
338 2 low_dynamic_group 356 865 68 394.000000 326.000000 551.000000 480.000000 0.739435315 0.853815675 2.927717209
752 1 static_group 413 611 6 317.000000 92.000000 463.000000 203.000000 0.360415936 -1.489639044 7.902112484
778 2 low_dynamic_group 439 439 2 501.000000 413.000000 614.000000 479.000000 0.848098278 -0.373888612 2.409387589
816 1 static_group 482 648 66 367.000000 147.000000 530.000000 290.000000 0.637852788 0.650499225 2.871104956
780 1 static_group 472 642 80 177.000000 142.000000 281.000000 232.000000 -0.686176062 0.705550015 3.161138773
783 1 static_group 473 648 96 189.000000 93.000000 298.000000 190.000000 -0.029441968 0.465712070 2.110157490
1346 2 low_dynamic_group 563 564 4 23.000000 0.000000 177.000000 114.000000 -1.176871300 0.675267994 3.498998642
1354 2 low_dynamic_group 565 568 3 32.000000 0.000000 180.000000 107.000000 -1.062741637 0.209475905 2.417199850
1378 2 low_dynamic_group 579 580 4 46.000000 0.000000 189.000000 97.000000 -0.820021152 -0.103753030 3.040316105
1400 2 low_dynamic_group 593 603 20 350.000000 61.000000 588.000000 392.000000 0.998306215 0.193988577 3.103415728
1466 1 static_group 609 610 4 323.000000 87.000000 468.000000 198.000000 0.614744782 -1.860609770 7.460732460
1718 1 static_group 650 668 40 322.000000 60.000000 500.000000 245.000000 1.265682936 0.355209053 1.495121837
1714 1 static_group 649 649 2 365.000000 138.000000 534.000000 278.000000 1.068187833 0.249140233 3.210735083
1811 2 low_dynamic_group 665 666 4 0.000000 6.000000 115.000000 211.000000 -0.135611892 0.367460608 2.206605434
1747 2 low_dynamic_group 654 654 2 309.000000 331.000000 497.000000 476.000000 1.752802134 1.479904175 5.861940384
1680 2 low_dynamic_group 644 644 2 350.000000 342.000000 552.000000 475.000000 1.093922734 1.024005055 1.630927086
1732 2 low_dynamic_group 652 662 16 0.000000 10.000000 126.000000 255.000000 -0.377528846 0.803549886 2.677865267
