# object_id class_id class_name first_frame last_frame observations bbox_left bbox_top bbox_right bbox_bottom center_x center_y center_z
3 2 low_dynamic_group 1 793 386 1.000000 277.000000 162.000000 477.000000 -0.780999959 0.412839472 2.457631826
4 2 low_dynamic_group 1 826 999 388.000000 319.000000 635.000000 480.000000 0.305147886 0.519537508 1.994583130
0 1 static_group 1 826 1180 354.000000 163.000000 472.000000 277.000000 0.487938911 -0.028036194 2.845450878
1 1 static_group 1 826 1052 144.000000 179.000000 251.000000 255.000000 -0.558394372 -0.042228382 3.163732052
248 2 low_dynamic_group 35 670 116 389.000000 386.000000 492.000000 480.000000 0.793617368 0.614502728 2.935497046
538 1 static_group 100 715 208 168.000000 143.000000 253.000000 284.000000 -0.528963625 0.071596026 1.661445856
748 2 low_dynamic_group 146 687 174 165.000000 326.000000 281.000000 463.000000 -0.812893629 0.596755326 3.429845810
950 1 static_group 197 623 32 127.000000 218.000000 231.000000 299.000000 -0.864201665 -0.430407733 3.575553894
928 1 static_group 193 195 6 279.000000 174.000000 387.000000 324.000000 -2.141824722 -1.837151289 7.883593559
870 1 static_group 182 189 16 254.000000 164.000000 352.000000 304.000000 -2.854783058 -1.329275012 8.170766830
963 2 low_dynamic_group 200 658 69 439.000000 375.000000 613.000000 479.000000 -0.351821393 0.306252658 1.573807001
1805 1 static_group 385 721 32 423.000000 220.000000 521.000000 303.000000 0.108554527 0.242855132 2.000062227
2356 2 low_dynamic_group 473 622 7 37.000000 317.000000 198.000000 479.000000 -1.250817418 0.968664169 4.499563694
2006 2 low_dynamic_group 419 419 2 348.000000 204.000000 506.000000 448.000000 0.107174516 0.820967734 1.708634496
1759 1 static_group 378 560 42 123.000000 254.000000 239.000000 347.000000 -0.668008149 0.114330508 2.337166071
1765 2 low_dynamic_group 379 716 26 545.000000 355.000000 640.000000 480.000000 0.832292020 0.927412927 2.312868357
1988 2 low_dynamic_group 416 623 73 44.000000 315.000000 199.000000 477.000000 -0.963216603 0.976589441 3.826741934
2118 1 static_group 442 446 4 306.000000 132.000000 446.000000 231.000000 0.192420453 -0.601781368 3.063494682
2091 2 low_dynamic_group 432 443 4 328.000000 212.000000 446.000000 404.000000 0.413022161 0.083753996 2.788670778
2086 1 static_group 431 431 2 89.000000 61.000000 191.000000 134.000000 -0.697028756 -0.471050560 3.541686058
2132 1 static_group 444 445 4 307.000000 124.000000 444.000000 223.000000 2.367182732 -1.810838580 7.039351463
2516 1 static_group 492 622 58 127.000000 221.000000 229.000000 303.000000 -0.810602963 0.223823711 3.700479269
3314 1 static_group 604 606 6 41.000000 128.000000 106.000000 221.000000 -0.535293162 -0.360235751 9.200748444
3344 1 static_group 609 609 2 42.000000 141.000000 106.000000 229.000000 -0.413533926 -0.096082717 11.468128204
3672 2 low_dynamic_group 671 673 6 391.000000 378.000000 459.000000 479.000000 0.222807854 0.991527140 3.071737289
