# object_id class_id class_name first_frame last_frame observations bbox_left bbox_top bbox_right bbox_bottom center_x center_y center_z
3 1 static_group 1 1020 908 205.000000 187.000000 266.000000 260.000000 -0.487297982 0.402369142 2.898406029
18 1 static_group 3 1020 740 365.000000 163.000000 509.000000 264.000000 0.436434418 0.236063182 2.559014797
1 2 low_dynamic_group 1 1020 434 415.000000 305.000000 609.000000 480.000000 0.372977495 0.842032731 1.767927885
0 2 low_dynamic_group 1 1020 280 40.000000 302.000000 216.000000 475.000000 -0.840349734 0.717900455 1.812877893
249 2 low_dynamic_group 123 1001 60 459.000000 298.000000 639.000000 475.000000 1.050094962 0.971257389 2.345351696
269 2 low_dynamic_group 127 127 2 24.000000 350.000000 211.000000 479.000000 -1.623818159 1.151847601 3.217388391
713 2 low_dynamic_group 224 831 33 173.000000 419.000000 318.000000 479.000000 -0.561402977 0.261603117 1.099751115
645 1 static_group 210 536 154 172.000000 134.000000 275.000000 212.000000 -0.831753373 0.104691409 1.421416640
297 2 low_dynamic_group 136 1011 16 62.000000 275.000000 260.000000 474.000000 -0.903732061 0.927598953 2.536745548
3040 2 low_dynamic_group 1009 1010 4 63.000000 268.000000 281.000000 473.000000 -0.629839361 0.891252995 3.050532818
1474 2 low_dynamic_group 360 530 234 6.000000 294.000000 222.000000 478.000000 -1.076568723 1.367483974 2.397964478
1138 1 static_group 314 511 148 126.000000 36.000000 242.000000 134.000000 -0.931720436 0.640646756 3.225650549
2070 1 static_group 427 537 4 170.000000 134.000000 272.000000 209.000000 -0.950635076 0.195424855 1.967174292
2045 2 low_dynamic_group 423 974 7 123.000000 354.000000 328.000000 480.000000 -0.210664272 0.660651207 1.526005030
2505 2 low_dynamic_group 511 536 14 4.000000 299.000000 207.000000 478.000000 -0.945414484 1.527014971 3.361799240
2700 1 static_group 790 794 10 204.000000 39.000000 363.000000 285.000000 0.147708923 -0.965244174 7.996029377
2902 1 static_group 981 999 34 422.000000 154.000000 572.000000 259.000000 1.114620209 0.514089882 2.554931164
2778 1 static_group 874 877 7 326.000000 173.000000 476.000000 348.000000 0.410023868 0.871383846 2.932194948
2677 1 static_group 774 774 1 460.000000 212.000000 629.000000 406.000000 0.961017132 -0.062161326 2.727591038
2926 2 low_dynamic_group 989 995 18 174.000000 328.000000 338.000000 479.000000 -0.231507555 1.181972980 2.435275555
2808 1 static_group 904 913 17 225.000000 115.000000 346.000000 279.000000 0.027281599 -0.183226496 2.897311449
2849 1 static_group 964 964 1 56.000000 150.000000 141.000000 248.000000 -4.381030560 0.275332808 9.457947731
